396 0.0         0.0003  0.0004  0.0007
   0

==========================================================================
MeVK   = Methylvinyl ketone = CH3C(O)CH=CH2
            => C3H6+CO     [0.6] keep recommended branching ratios from IUPAC
            => CH2CHCO+CH3 [0.4]
       J10:  D18, tbl 4D-21

Total Q-yld from Stern-Volmer converted (as in acetone) to 3 different trop levels:
        alt=   0 km      5 km      13 km
        M=  2.46E+19   1.50E+19   5.8E+18
        T=     295K      272K       220K
Only apply a single overall quantum yield PHI
        PHI = exp[ -0.055 * (w-308) ] / 5.5 + 9.2e-19*[M])

Thus there are 3 tables for MeVK, each designated by T(K)



Table 4D-21 Revised. Absorption Cross Sections of CH3C(O)CH=CH2 at 298 K (1e-20)
The quantum yield data were fit to the empirical Stern-Volmer type expression

The quantum yield data were fit to the empirical Stern-Volmer type expression
Φ(λ,P) = exp[-0.055 (λ - 308)] / (5.5 + 9.2 × 10-19 [M])
where λ is in nm and [M] in molecule cm-3. This parameterization is recommended

 ==========fast-JX 18-bin cross-sections=============
MeVK   220 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.793E-22 4.761E-21 5.469E-21 5.834E-21
           5.243E-21 4.484E-21 3.669E-21 1.710E-21 9.057E-23 0.000E+00
 ==========pratmo 77-bin cross-sections=============
MeVK   220
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 8.295E-22 5.494E-21 5.799E-21 5.899E-21 5.963E-21 6.019E-21 5.949E-21 5.852E-21
 5.784E-21 5.710E-21 5.611E-21 5.545E-21 5.483E-21 5.389E-21 5.281E-21 5.182E-21
 5.068E-21 4.958E-21 4.837E-21 4.734E-21 4.628E-21 4.496E-21 4.361E-21 4.246E-21
 4.115E-21 3.988E-21 3.840E-21 3.668E-21 3.488E-21 3.261E-21 2.997E-21 2.530E-21
 1.891E-21 1.047E-21 4.870E-22 1.965E-22 6.448E-23 1.559E-23 4.445E-25 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 ==========fast-JX 18-bin cross-sections=============
MeVK   272 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 1.007E-22 2.673E-21 3.070E-21 3.275E-21
           2.943E-21 2.517E-21 2.061E-21 9.598E-22 5.077E-23 0.000E+00
 ==========pratmo 77-bin cross-sections=============
MeVK   272
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 4.657E-22 3.085E-21 3.256E-21 3.312E-21 3.349E-21 3.378E-21 3.340E-21 3.285E-21
 3.246E-21 3.205E-21 3.150E-21 3.114E-21 3.078E-21 3.026E-21 2.965E-21 2.911E-21
 2.846E-21 2.783E-21 2.714E-21 2.657E-21 2.598E-21 2.523E-21 2.448E-21 2.384E-21
 2.312E-21 2.239E-21 2.158E-21 2.061E-21 1.960E-21 1.832E-21 1.683E-21 1.421E-21
 1.061E-21 5.880E-22 2.727E-22 1.105E-22 3.618E-23 8.632E-24 2.430E-25 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 ==========fast-JX 18-bin cross-sections=============
MeVK   295 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
           0.000E+00 0.000E+00 6.906E-23 1.834E-21 2.107E-21 2.247E-21
           2.019E-21 1.725E-21 1.414E-21 6.587E-22 3.474E-23 0.000E+00
 ==========pratmo 77-bin cross-sections=============
MeVK   295
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 3.195E-22 2.116E-21 2.233E-21 2.272E-21 2.297E-21 2.318E-21 2.291E-21 2.255E-21
 2.228E-21 2.199E-21 2.161E-21 2.136E-21 2.111E-21 2.074E-21 2.034E-21 1.996E-21
 1.952E-21 1.911E-21 1.865E-21 1.822E-21 1.781E-21 1.729E-21 1.678E-21 1.633E-21
 1.585E-21 1.539E-21 1.480E-21 1.414E-21 1.344E-21 1.257E-21 1.157E-21 9.748E-22
 7.279E-22 4.033E-22 1.868E-22 7.522E-23 2.497E-23 5.911E-24 1.756E-25 0.000E+00
 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00

